  FRAME_1
3.356	-5.449-2.0468i	2.704+2.274i	-0.40304-1.0108i	0.196	-0.40304+1.0108i	2.704-2.274i	-5.449+2.0468i
0.1069-0.55298i	1.0304+1.7864i	-1.6846-1.6734i	0.26048+1.0464i	-0.037906+0.027931i	0.69933-0.93421i	-1.817+1.2452i	1.9903-1.7849i
3.9358+2.7391i	-2.0456-3.2046i	1.6477+2.2283i	-0.15171-1.3625i	0.11007-0.0086496i	-0.97539+1.1453i	2.6337-0.9585i	-3.7595+0.27839i
-3.3836-0.80688i	2.3211+1.3417i	-0.59567-1.5073i	-0.079482+0.95455i	-0.15396+0.017628i	0.78217-0.71396i	-1.5875+0.77931i	2.6095-0.012885i
1.6612+1.6462i	-0.95251-2.3669i	0.34354+2.1727i	0.01824-1.1498i	-0.0011785-0.099719i	-1.186+0.60237i	2.295-0.30428i	-2.4934-0.63118i
-2.1149-1.4717i	1.2446+1.6269i	-0.33288-1.1724i	-0.28135+0.42876i	-0.11724+0.010961i	0.54653-0.41788i	-1.3369+0.16635i	2.0241+0.50557i
0.8056+1.2686i	-0.16554-1.5303i	-0.40123+1.3344i	0.37508-0.7824i	0.10805-0.047961i	-1.0134+0.2148i	1.4779+0.2224i	-1.3152-0.90459i
-0.84693-1.1334i	0.38758+1.1766i	-0.025768-0.7195i	-0.014157+0.13473i	0.060736+0.21829i	0.29906-0.13137i	-0.82509-0.042398i	1.1454+0.60798i
0.18017+0.77511i	0.20941-0.67911i	-0.47193+0.52709i	0.55-0.17684i	0.17007+0.13856i	-0.61585+0.037884i	0.66911+0.40186i	-0.41818-0.60568i
-0.16676-0.38437i	0.024753+0.67335i	0.028793-0.20723i	0.06385+0.16368i	0.051137+0.33742i	0.17299-0.10823i	-0.32786+0.013596i	0.57613+0.4428i
-0.19399+0.33551i	-0.081526-0.14787i	-0.7073-0.1047i	-0.059461-0.15388i	-0.060265-0.15604i	-0.19215-0.40624i	0.26786+0.042222i	0.01786-0.2877i
-0.063042-0.894i	0.35602-0.45094i	0.52018-0.44289i	0.21877+0.18134i	0.036982+0.27042i	0.065726-0.071923i	-0.61092-0.19068i	-0.063152-0.48598i
-0.063042+0.894i	-0.063152+0.48598i	-0.61092+0.19068i	0.065726+0.071923i	0.036982-0.27042i	0.21877-0.18134i	0.52018+0.44289i	0.35602+0.45094i
-0.19399-0.33551i	0.01786+0.2877i	0.26786-0.042222i	-0.19215+0.40624i	-0.060265+0.15604i	-0.059461+0.15388i	-0.7073+0.1047i	-0.081526+0.14787i
-0.16676+0.38437i	0.57613-0.4428i	-0.32786-0.013596i	0.17299+0.10823i	0.051137-0.33742i	0.06385-0.16368i	0.028793+0.20723i	0.024753-0.67335i
0.18017-0.77511i	-0.41818+0.60568i	0.66911-0.40186i	-0.61585-0.037884i	0.17007-0.13856i	0.55+0.17684i	-0.47193-0.52709i	0.20941+0.67911i
-0.84693+1.1334i	1.1454-0.60798i	-0.82509+0.042398i	0.29906+0.13137i	0.060736-0.21829i	-0.014157-0.13473i	-0.025768+0.7195i	0.38758-1.1766i
0.8056-1.2686i	-1.3152+0.90459i	1.4779-0.2224i	-1.0134-0.2148i	0.10805+0.047961i	0.37508+0.7824i	-0.40123-1.3344i	-0.16554+1.5303i
-2.1149+1.4717i	2.0241-0.50557i	-1.3369-0.16635i	0.54653+0.41788i	-0.11724-0.010961i	-0.28135-0.42876i	-0.33288+1.1724i	1.2446-1.6269i
1.6612-1.6462i	-2.4934+0.63118i	2.295+0.30428i	-1.186-0.60237i	-0.0011785+0.099719i	0.01824+1.1498i	0.34354-2.1727i	-0.95251+2.3669i
-3.3836+0.80688i	2.6095+0.012885i	-1.5875-0.77931i	0.78217+0.71396i	-0.15396-0.017628i	-0.079482-0.95455i	-0.59567+1.5073i	2.3211-1.3417i
3.9358-2.7391i	-3.7595-0.27839i	2.6337+0.9585i	-0.97539-1.1453i	0.11007+0.0086496i	-0.15171+1.3625i	1.6477-2.2283i	-2.0456+3.2046i
0.1069+0.55298i	1.9903+1.7849i	-1.817-1.2452i	0.69933+0.93421i	-0.037906-0.027931i	0.26048-1.0464i	-1.6846+1.6734i	1.0304-1.7864i

